OID_,Enclosure,Greeness,Openness,Population,Facilities
0,0.295545,0.061067,0.013364,0.454972133,0.075304461
1,0.229713,0.136975,0.01953,0.21061895,0.044132305
2,0.321227,0.067179,0.006522,0.352596069,0.061346884
3,0.397659,0.039283,0.002804,0.447638604,0.067840996
4,0.344845,0.090193,0.01784,0.168671165,0.08772947
5,0.278988,0.126056,0.003434,0.398063948,0.045258547
6,0.353712,0.091039,0.011043,0.381050161,0.073724737
7,0.276718,0.145765,0.017422,0.520093869,0
8,0.276241,0.109053,0.040222,0.335582282,0.09226941
9,0.271746,0.105371,0.042523,0.457025521,0.096754963
10,0.308437,0.096117,0.040616,0.300088002,0
11,0.30986,0.210662,0.012009,0.535054268,0.012814425
12,0.37379,0.064373,0.006588,0.349369317,0.070298412
13,0.334742,0.04867,0.003762,0.34526254,0.059199698
14,0.425042,0.023059,0.018995,0.391023761,0.104183671
15,0.359271,0.040887,0.001879,0.467585802,0.11577695
16,0.370459,0.076745,0.000795,0.402464066,0.036795882
17,0.372804,0.078386,0.003592,0.359342916,0.208080276
18,0.593354,0.030399,0.007573,0.356116163,0.051308012
19,0.375934,0.091486,0.012993,0.501026694,0.106123758
20,0.275751,0.132868,0.02039,0.373423291,0
21,0.394978,0.04384,0.009525,0.435024934,0.078804208
22,0.404998,0.03324,0.006273,0.488413024,0.069432481
23,0.445883,0.004294,0.024779,0.600762687,0.011376766
24,0.238002,0.123234,0.038874,0.498679965,0.048169096
25,0.379019,0.082365,0.020749,0.474919331,0.084237888
26,0.236648,0.125844,0,0.397770607,0.236835945
27,0.44591,0.034523,0.004419,0.345849223,0.098331735
28,0.346439,0.092,0.00739,0.389557055,0.092760215
29,0.437354,0.062966,0.007359,0.568201819,0.051966889
30,0.292478,0.167233,0.021483,0.378410091,0.055072398
31,0.318729,0.103824,0.001122,0.219125843,0.190489538
32,0.325256,0.036712,0.002273,0.239366383,0.080594526
33,0.361499,0.058641,0.003571,0.347902611,0.01651043
34,0.366567,0.093017,0.004039,0.364623057,0.023070959
35,0.337368,0.101946,0.021622,0.398650631,0
36,0.389251,0.108452,0.030451,0.217659138,0.007566432
37,0.327445,0.192661,0.001628,0.165151071,0.022131343
38,0.32846,0.121892,0.022984,0.34760927,0.006830166
39,0.259373,0.124611,0.01568,0.360809622,0
40,0.300535,0.091074,0.005557,0.31974186,0.014226691
41,0.392587,0.065241,0.008259,0.300674685,0.046198654
42,0.294726,0.116487,0.00997,0.287767674,0.039576488
43,0.212771,0.170237,0.003412,0.336168965,0.141778919
44,0.337583,0.085727,0.00729,0.389557055,0.073920268
45,0.452638,0.089864,0.001218,0.338515694,0.019396256
46,0.470091,0.023361,0.016374,0.286594309,0.062528678
47,0.580809,0.18514,0.005826,0.440891757,0
48,0.387177,0.044583,0.014284,0.339395717,0.057710515
49,0.31582,0.094778,0.025191,0.418011147,0.045270713
50,0.289247,0.105164,0.014034,0.357582869,0
51,0.347141,0.066643,0.024532,0.293927838,0.022258764
52,0.207256,0.188773,0.01707,0.40363743,0.019703705
53,0.425259,0.099078,0.000269,0.282194192,0.041556511
54,0.338264,0.083805,0.002065,0.283367556,0.07854622
55,0.308303,0.118321,0.002129,0.26899384,0.060983064
56,0.22448,0.174174,0.016376,0.23848636,0.085497507
57,0.278013,0.110253,0.00982,0.320035201,0.106250891
58,0.287334,0.138358,0.006331,0.420651217,0.105179075
59,0.479582,0.079925,0.000403,0.406864183,0.125586674
60,0.274711,0.112712,0.003484,0.404810795,0.044649893
61,0.293386,0.221637,0.001239,0.394837196,0.080801919
62,0.312099,0.119703,0.004978,0.388090349,0
63,0.358005,0.085361,0.000651,0.357582869,0
64,0.294114,0.110289,0.003887,0.414491053,0.057331387
65,0.318007,0.091529,0.00433,0.556468172,0.015204103
66,0.372104,0.045681,0.011679,0.354356116,0.186967165
67,0.390236,0.074309,0.012234,0.424757994,0.073858483
68,0.383368,0.059417,0.014704,0.306541508,0.014424041
69,0.381813,0.080904,0.005368,0.304781461,0.084605791
70,0.320909,0.102126,0.005616,0.398063948,0.077213707
71,0.393738,0.115591,0.001464,0.428571429,0
72,0.26211,0.151467,0.003788,0.480492813,0.011234102
73,0.328509,0.10153,0.013851,0.442065122,0.049038755
74,0.321261,0.106284,0.008626,0.382223526,0.033516348
75,0.323959,0.119388,0.023748,0.414491053,0.093068573
76,0.404371,0.103227,0.002278,0.241419771,0.024326635
77,0.290515,0.09463,0.008117,0.406570842,0.050417603
78,0.270894,0.145251,0.01711,0.417717806,0.029087572
79,0.324131,0.080254,0.001262,0.487533001,0.031704854
80,0.320166,0.091174,0.012465,0.242593136,0
81,0.256209,0.175828,0.007472,0.424464652,0
82,0.241267,0.182715,0.031946,0.401584042,0.061681038
83,0.387811,0.085113,0.011612,0.337048988,0
84,0.239127,0.148623,0.009987,0.40598416,0.073974136
85,0.250362,0.176269,0.026549,0.412437665,0.0784892
86,0.207359,0.227992,0.031149,0.393663831,0.044908782
87,0.305732,0.141968,0.010384,0.38838369,0.01402054
88,0.202263,0.239343,0.017953,0.521267234,0.114116411
89,0.332477,0.110611,0.002557,0.407744207,0.091653579
90,0.208927,0.191018,0.035114,0.123789968,0.233427234
91,0.203386,0.270102,0.035303,0.354649457,0
92,0.346478,0.06586,0.027368,0.39601056,0.014638042
93,0.371904,0.128458,0.002403,0.393077149,0
94,0.268206,0.163726,0.017329,0.282487533,0.028321623
95,0.21669,0.177946,0.010615,0.441771781,0.092841362
96,0.32899,0.131347,0.016657,0.301554708,0
97,0.260747,0.150397,0.00408,0.263420358,0.025590026
98,0.320043,0.103391,0.052221,0.438545028,0.06716904
99,0.332931,0.12226,0.009413,0.367849809,0.002342215
100,0.315938,0.127038,0.042128,0.332648871,0.014078845
101,0.33731,0.097337,0.006769,0.349369317,0
102,0.321274,0.156643,0.017563,0.219712526,0
103,0.219184,0.203211,0.013961,0.338222353,0.02050901
104,0.257573,0.213538,0.010826,0.261660311,0
105,0.356825,0.071908,0.02584,0.484306248,0.004271461
106,0.314901,0.118428,0.016446,0.450572015,0.054553147
107,0.262515,0.14641,0.015114,0.362276327,0.037159822
108,0.264983,0.216234,0.005191,0.237312995,0.064231881
109,0.290792,0.148198,0.02652,0.18539161,0.030048024
110,0.20039,0.201938,0.03698,0.412144324,0
111,0.346833,0.100855,0.018487,0.443825169,0.008341336
112,0.31832,0.089263,0.010717,0.50513347,0.049532237
113,0.220673,0.205834,0.001627,0.297741273,0.020388486
114,0.215926,0.213084,0.017214,0.27662071,0.028621684
115,0.266071,0.049893,0.016573,0.18539161,0.003097752
116,0.173972,0.24243,0.014376,0.234672925,0.010824372
117,0.183057,0.234217,0,0.39337049,0.03309087
118,0.32829,0.09582,0.057516,0.196245233,0
119,0.268212,0.153115,0.042526,0.244059842,0.004966306
120,0.308215,0.153478,0.020088,0.193898504,0.005012563
121,0.389809,0.052313,0.025576,0.40363743,0
122,0.409474,0.07326,0.018572,0.358462892,0
123,0.264405,0.148534,0.048974,0.281900851,0
124,0.255145,0.131973,0.010057,0.168084482,0.005793575
125,0.240917,0.123338,0.073472,0.326488706,0
126,0.257604,0.117011,0.12496,0.273100616,0.023663189
127,0.318771,0.070694,0.033991,0.283954239,0.012536987
128,0.358116,0.085533,0.026598,0.219712526,0
129,0.272474,0.106536,0.101248,0.486652977,0.067675873
130,0.305101,0.125737,0.041914,0.2537401,0
131,0.316598,0.087223,0.043694,0.193898504,0
132,0.296957,0.067904,0.078319,0.22851276,0
133,0.302826,0.130024,0.032471,0.343795835,0
134,0.202491,0.185642,0.013362,0.23848636,0.004864811
135,0.239456,0.127195,0.037808,0.30214139,0.004667962
136,0.175814,0.131204,0.017131,0.145790554,0.008953713
137,0.251417,0.174429,0.020272,0.330888824,0
138,0.209439,0.252854,0.033467,0.323848636,0.016180535
